seed,dimension,tau,splits,mmd,base_mc,base_nll,mc,nll
9,8,1,1,0.2692647287790982,69.60337259639853,5.388476598915098,68.26297483824924,5.348300822587933
9,8,1,3,0.2692647287790982,69.60337259639853,5.388476598915098,65.44594308227823,5.287440623604779
9,8,5,1,0.1343117758231156,81.70449630671712,5.764182466095723,80.19500556945904,5.7488653450978395
9,8,5,3,0.1343117758231156,81.70449630671712,5.764182466095723,77.09914290012478,5.674156436660257
10,3,0.1,1,0.34525472360018555,19.71678152908206,6.06497641521751,17.378331173214896,6.730546235455698
10,3,0.1,3,0.34525472360018555,19.71678152908206,6.06497641521751,16.009826532149287,5.820819344258302
10,3,1,1,0.3410308976566397,24.323512784672126,4.9312590513053705,23.209034598674034,5.069947543210523
10,3,1,3,0.3410308976566397,24.323512784672126,4.9312590513053705,20.602577167842213,4.854994168947579
10,3,5,1,0,27.35567785934299,4.496939715254144,26.04871503536986,4.3982158534216484
10,3,5,3,0,27.35567785934299,4.496939715254144,24.768256841740282,4.323673520731563
10,5,0.1,1,0.17840928894620126,49.575690339619904,5.107129157855123,47.56120045350655,5.071414057224532
10,5,0.1,3,0.17840928894620126,49.575690339619904,5.107129157855123,47.757638275996136,5.0547524507389
10,5,1,1,0.19532715164189002,49.090001608424025,5.129774690010612,46.861852472954595,5.104057231594991
10,5,1,3,0.19532715164189002,49.090001608424025,5.129774690010612,41.944990806795296,5.059276413188547
10,5,5,1,0.08677468849479843,66.31151412025343,5.256744427423958,64.25928507949396,5.230560757491637
10,5,5,3,0.08677468849479843,66.31151412025343,5.256744427423958,61.21876363484685,5.174608104526117
10,8,0.1,1,0.2525757550283132,64.86578936230988,5.370072180239813,63.25400915923591,5.403575273790851
10,8,0.1,3,0.2525757550283132,64.86578936230988,5.370072180239813,59.94734147015807,5.3513065219360945
10,8,1,1,0.24288532100429558,75.17647181053789,5.428399143435989,73.49854910532353,5.430860737146373
10,8,1,3,0.24288532100429558,75.17647181053789,5.428399143435989,69.97602262972426,5.38315162962945
10,8,5,1,0.11270749695638949,83.5704946647642,5.470965554203439,82.54472120845176,5.473662888900156
10,8,5,3,0.11270749695638949,83.5704946647642,5.470965554203439,79.70487474851856,5.410997925543972
11,3,0.1,1,0.46822772579844124,24.016288449978447,5.425462983702985,19.78939875418525,5.124136117755567
11,3,0.1,3,0.46822772579844124,24.016288449978447,5.425462983702985,13.478101657196014,5.404039015477262
11,3,1,1,0.47018468196773805,26.49511160213041,5.8151691381546895,21.66056124933843,5.19141125798723
11,3,1,3,0.47018468196773805,26.49511160213041,5.8151691381546895,13.659479296546019,4.855984090360553
11,3,5,1,0.03050359864446035,33.4507262022638,4.609142588756946,31.949299713485825,4.511642304836718
11,3,5,3,0.03050359864446035,33.4507262022638,4.609142588756946,30.782334553887058,4.463416487310726
11,5,0.1,1,0.4301979180062911,45.53888198594716,5.239379324379544,42.348599909909915,5.230410727709925
11,5,0.1,3,0.4301979180062911,45.53888198594716,5.239379324379544,36.9973200126124,5.2421212113433295
11,5,1,1,0.39693793978174663,46.426210489900285,5.099886881578591,41.95807127479958,5.058907215411869
11,5,1,3,0.39693793978174663,46.426210489900285,5.099886881578591,35.79393460378478,5.070175473933862
11,5,5,1,0.1083984782633728,59.21515298792858,5.328959293466136,56.13337634810501,5.1715996257151176
11,5,5,3,0.1083984782633728,59.21515298792858,5.328959293466136,52.07955199139797,5.021147399103471
11,8,0.1,1,0.2435189081592909,67.42823984738288,5.516390714938116,66.40808947306287,5.469131477163794
11,8,0.1,3,0.2435189081592909,67.42823984738288,5.516390714938116,64.37078856996983,5.3995344045622655
11,8,1,1,0.22480552093447814,70.2165219962474,5.438625530560198,68.62499392310576,5.411553432396498
11,8,1,3,0.22480552093447814,70.2165219962474,5.438625530560198,65.69232856119922,5.41061094793336
11,8,5,1,0.13666933204506793,80.54115870997217,5.4889330792412565,77.84506568344442,5.42866355189852
11,8,5,3,0.13666933204506793,80.54115870997217,5.4889330792412565,74.14765554765188,5.369659118259337
12,3,0.1,1,0.47987208073721116,23.42786247990685,5.909405426956495,18.808923034238177,6.134022056159664
12,3,0.1,3,0.47987208073721116,23.42786247990685,5.909405426956495,16.34357745087955,5.6294277595847575
12,3,1,1,0.43701295427179393,29.508206495760742,5.029417038266037,22.963187188377027,4.987828438719656
12,3,1,3,0.43701295427179393,29.508206495760742,5.029417038266037,19.08272978221651,5.082707834202505
12,3,5,1,0,35.80756127268908,4.685890981166845,35.29812553208779,4.661153569277241
12,3,5,3,0,35.80756127268908,4.685890981166845,34.18197519660265,4.617227690484752
12,5,0.1,1,0.41138241332658076,48.13843649443159,5.130882865155848,44.75939680543496,5.074001400981953
12,5,0.1,3,0.41138241332658076,48.13843649443159,5.130882865155848,43.180394535662344,5.092276816651448
12,5,1,1,0.4176702398835856,49.66541690263344,5.184711030210648,47.15848891290858,5.15314569406971
12,5,1,3,0.4176702398835856,49.66541690263344,5.184711030210648,41.07777338611751,4.997135676565009
12,5,5,1,0.13597523293941988,51.3673345139217,5.455408461483335,48.01946252704482,5.22001674994023
12,5,5,3,0.13597523293941988,51.3673345139217,5.455408461483335,44.41862302003054,5.049910305440118
12,8,0.1,1,0.31502083526436275,66.36161553057138,5.653934313509446,65.4593440534579,5.592051912829509
12,8,0.1,3,0.31502083526436275,66.36161553057138,5.653934313509446,63.370585949073174,5.4935989224284345
12,8,1,1,0.3306381823369164,66.66578202425703,5.467447921310784,65.69010589945687,5.431746815093757
12,8,1,3,0.3306381823369164,66.66578202425703,5.467447921310784,63.785812860853255,5.38456121094314
12,8,5,1,0.12726084472540136,76.78636770627816,5.674952294915498,74.3962451636181,5.57575175767043
12,8,5,3,0.12726084472540136,76.78636770627816,5.674952294915498,72.02942973569462,5.5689852217490845
13,3,0.1,1,0.4225483286238927,19.39646721419221,5.710474930226025,16.134309167266103,6.985215221259315
13,3,0.1,3,0.4225483286238927,19.39646721419221,5.710474930226025,14.501410171186262,8.266722176369388
13,3,1,1,0.35989090047623085,25.75095320466432,4.865388492584851,20.56742848534361,4.977831044042497
13,3,1,3,0.35989090047623085,25.75095320466432,4.865388492584851,18.866011626439384,4.975839099198653
13,3,5,1,0,28.769103317025653,4.54971831971344,27.824234566501808,4.481524645602883
13,3,5,3,0,28.769103317025653,4.54971831971344,25.773767399369515,4.397540412286693
13,5,0.1,1,0.39180767994696886,40.77458868448331,5.740747920059375,37.273912431802955,5.649436649473918
13,5,0.1,3,0.39180767994696886,40.77458868448331,5.740747920059375,31.100234998093566,6.036578279946645
13,5,1,1,0.3405452358936586,46.857766589868994,5.132524076894052,41.84203672893001,5.09049809824867
13,5,1,3,0.3405452358936586,46.857766589868994,5.132524076894052,32.91150618856807,5.13681100934304
13,5,5,1,0.1079740401504426,56.12173671639628,5.385223843549829,52.71145670049003,5.179314531809255
13,5,5,3,0.1079740401504426,56.12173671639628,5.385223843549829,49.18324146721612,5.054169234080059
13,8,0.1,1,0.2511519466567104,65.367415868388,5.5930068776376185,63.89430438534223,5.529761301645503
13,8,0.1,3,0.2511519466567104,65.367415868388,5.5930068776376185,60.506962194897035,5.484388396184902
13,8,1,1,0.282806296819626,67.98316997857192,5.513213854389391,66.12391200666791,5.465974372260572
13,8,1,3,0.282806296819626,67.98316997857192,5.513213854389391,61.41787811045896,5.390076199674944
13,8,5,1,0.2189528715979177,73.99438191542143,5.3680610020667,71.76596374753358,5.341267438517579
